quote,score,image_urls,title
希望让人自由。,9.6,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480747492.jpg,肖申克的救赎
怪蜀黍和小萝莉不得不说的故事。,9.4,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p511118051.jpg,这个杀手不太冷
风华绝代。,9.5,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910813120.jpg,霸王别姬
一部美国近现代史。,9.4,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p510876377.jpg,阿甘正传
最美的谎言。,9.5,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p510861873.jpg,美丽人生
最好的宫崎骏，最好的久石让。 ,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910830216.jpg,千与千寻
拯救一个人，就是拯救整个世界。,9.4,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p492406163.jpg,辛德勒的名单
失去的才是永恒的。 ,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457760035.jpg,泰坦尼克号
诺兰给了我们一场无法盗取的梦。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p513344864.jpg,盗梦空间
小瓦力，大人生。,9.3,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p449665982.jpg,机器人总动员
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p511146957.jpg,海上钢琴师
英俊版憨豆，高情商版谢耳朵。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p579729551.jpg,三傻大闹宝莱坞
永远都不能忘记你所爱的人。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p524964016.jpg,忠犬八公的故事
天籁一般的童声，是最接近上帝的存在。 ,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824951.jpg,放牛班的春天
一生所爱。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2455050536.jpg,大话西游之大圣娶亲
千万不要记恨你的对手，这样会让你失去理智。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910907404.jpg,教父
人人心中都有个龙猫，童年就永远不会消失。,9.1,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910829638.jpg,龙猫
如果再也不能见到你，祝你早安，午安，晚安。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg,楚门的世界
Tomorrow is another day.,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1963126880.jpg,乱世佳人
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910901025.jpg,天堂电影院
平民励志片。 ,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1312700628.jpg,当幸福来敲门
满满温情的高雅喜剧。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1454261925.jpg,触不可及
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910926158.jpg,搏击俱乐部
1957年的理想主义。 ,9.3,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173577632.jpg,十二怒汉
香港电影史上永不过时的杰作。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2233971046.jpg,无间道
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1363250216.jpg,熔炉
史诗的终章。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910825503.jpg,指环王3：王者无敌
真正的幸福是来自内心深处。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p663036666.jpg,怦然心动
对天空的追逐，永不停止。 ,9.0,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1446261379.jpg,天空之城
爱情哪怕只有一天。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189265085.jpg,罗马假日
瑰丽壮观、无人能及的冒险之旅。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1784592701.jpg,少年派的奇幻漂流
旷古烁今。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg,大话西游之月光宝盒
对敌人的仁慈，就是对自己残忍。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg,鬼子来了
爱是一种力量，让我们超越时空感知它的存在。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2206088801.jpg,星际穿越
无尽的黑暗。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg,蝙蝠侠：黑暗骑士
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.0,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg,两杆大烟枪
最后那些最无聊的事情，才是最值得怀念的。 ,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465583562.jpg,飞屋环游记
张艺谋最好的电影。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg,活着
自由万岁。,9.0,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg,飞越疯人院
别样人生。,9.1,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg,窃听风暴
海豚的微笑，是世界上最高明的伪装。,9.3,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg,海豚湾
史上最美的探戈。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p925123037.jpg,闻香识女人
一张面具背后的理想与革命。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg,V字仇杀队
爱是一切逻辑和原由。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg,美丽心灵
优雅的孤独。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p616779231.jpg,教父2
带着心爱的人在天空飞翔。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,哈尔的移动城堡
承前启后的史诗篇章。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg,指环王2：双塔奇兵
传说的开始。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg,指环王1：魔戒再现
法式小清新。 ,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg,天使爱美丽
暗恋的极致。,8.8,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg,情书
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg,死亡诗社
往事如烟，无处祭奠。,9.1,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg,美国往事
警察抓小偷，老鼠玩死猫。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg,七宗罪
音乐能化解仇恨。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg,钢琴家
动物版《哈姆雷特》。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg,狮子王
电影的现实意义大过电影本身。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg,辩护人
以戏谑来戏谑戏谑。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg,被嫌弃的松子的一生
孪生蝙蝠侠大战克隆金刚狼。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg,致命魔术
比利·怀德满分作品。,9.6,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg,控方证人
史诗大片的典范。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg,勇敢的心
浪漫忧郁的成人童话。,8.7,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg,剪刀手爱德华
人生不能像做菜，把所有的料都准备好了才下锅。,9.0,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg,饮食男女
奔跑的孩子是天使。,9.2,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg,小鞋子
用音乐化解仇恨，让歌声串起美好。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg,音乐之声
故事的高级讲法。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg,低俗小说
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg,入殓师
在时间之河里感受溺水之苦。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p475749652.jpg,本杰明·巴顿奇事
安东尼·霍普金斯的顶级表演。,8.7,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg,沉默的羔羊
人的命运被自己瞬间的抉择改变。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1783650111.jpg,蝴蝶效应
视觉革命。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg,黑客帝国
美利坚精神输出大片No1.,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg,拯救大兵瑞恩
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.1,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg,素媛
你是我最好的朋友，你是我唯一的朋友 。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg,玛丽和马克思
美丽无罪。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792400696.jpg,西西里的美丽传说
人生中应该拥有这样的一段豁然开朗。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg,心灵捕手
人与自然的战争史诗。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg,幽灵公主
深入内心的恐怖，出人意料的结局。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg,第六感
一场华丽的意淫。,8.7,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg,阳光灿烂的日子
你给我翻译翻译，神马叫做TMD的惊喜。,8.7,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg,让子弹飞
爱情纠缠，男女一致。,8.8,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg,春光乍泄
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg,大鱼
经典之作，历久弥新。,9.2,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg,大闹天宫
百看不厌。 ,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg,射雕英雄传之东成西就
寂寞没有期限。,8.6,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792381411.jpg,重庆森林
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg,阳光姐妹淘
被上帝抛弃了的上帝之城。,8.9,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg,上帝之城
相逢只要一瞬间，等待却像是一辈子。,8.7,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg,甜蜜蜜
昔日翩翩少年，今日大腹便便。,8.6,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1832875827.jpg,禁闭岛
最不可能的那个人永远是最可能的。,8.6,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453720880.jpg,致命ID
没有一人完全善，也没有一人完全恶。,8.6,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p689520756.jpg,告白
我们都曾经是一一。,8.9,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg,一一
约翰尼·德普的独角戏。,8.6,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1596085504.jpg,加勒比海盗
